Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Allocated_Capital,Total_Cum,Entry_Date
Strategy_2_T8309,Strategy_2,-0.1838000000000015,0.7055295996714288,100.0,81.61999999999985,2019-08-21
Strategy_2_T8310,Strategy_2,0.0663,0.7031919042308881,81.61999999999985,87.03140599999983,2019-08-22
Strategy_2_T8311,Strategy_2,0.0016999999999995,0.6916384580602201,43.51570299999992,87.1053826950998,2019-08-23
Strategy_4_T8312,Strategy_4,0.0016999999999995,0.6898106703665776,43.51570299999992,87.17935939019978,2019-08-23
Strategy_2_T8313,Strategy_2,-0.0013999999999985,0.68947724777637,43.58967969509989,87.1183338386267,2019-08-26
Strategy_4_T8314,Strategy_4,-0.0013999999999985,0.6880040948232312,43.58967969509989,87.05730828705362,2019-08-26
Strategy_2_T8315,Strategy_2,0.0213999999999998,0.6878361111446261,87.05730828705362,88.92033468439655,2019-08-27
Strategy_2_T8316,Strategy_2,0.1021999999999998,0.6831515929322223,29.640111561465517,91.94955408597832,2019-08-28
Strategy_3_T8317,Strategy_3,0.1021999999999998,0.6826793735957575,29.640111561465517,94.97877348756009,2019-08-28
Strategy_4_T8318,Strategy_4,0.1021999999999998,0.6820105620166741,29.640111561465517,98.00799288914186,2019-08-28
Strategy_2_T8319,Strategy_2,-0.100999999999999,0.6807652580373407,49.00399644457093,93.05858924824025,2019-08-29
Strategy_4_T8320,Strategy_4,-0.100999999999999,0.6804136031182917,49.00399644457093,88.10918560733865,2019-08-29
Strategy_2_T8321,Strategy_2,-0.1168000000000013,0.6761791904367709,88.10918560733865,77.81803272840138,2019-08-30
Strategy_4_T8322,Strategy_4,-0.1547999999999998,0.6741377098067045,77.81803272840138,65.77180126204486,2019-09-03
Strategy_1_T8323,Strategy_1,-0.2956999999999983,0.6714338920033105,65.77180126204486,46.32307962885831,2019-09-04
Strategy_1_T8324,Strategy_1,0.0821999999999985,0.6686530043106417,46.32307962885831,50.13083677435039,2019-09-05
Strategy_4_T8325,Strategy_4,-0.0776000000000003,0.6683785852623597,50.13083677435039,46.240683840660786,2019-09-06
Strategy_4_T8326,Strategy_4,-0.0770999999999997,0.668002853465641,46.240683840660786,42.67552711654585,2019-09-12
Strategy_4_T8327,Strategy_4,0.0513000000000012,0.6672868713432896,42.67552711654585,44.864781657624704,2019-09-17
Strategy_4_T8328,Strategy_4,-0.0252999999999996,0.6663015132246448,44.864781657624704,43.72970268168682,2019-09-18
Strategy_2_T8329,Strategy_2,0.1158999999999998,0.6656193403995208,21.86485134084341,46.263838952090566,2019-09-20
Strategy_4_T8330,Strategy_4,0.1158999999999998,0.665583732891382,21.86485134084341,48.797975222494316,2019-09-20
Strategy_4_T8333,Strategy_4,-0.0213,0.6644941329826081,16.26599174083144,48.4515095984146,2019-09-23
Strategy_2_T8331,Strategy_2,-0.0213,0.6644371117976067,16.26599174083144,48.10504397433489,2019-09-23
Strategy_3_T8332,Strategy_3,-0.0213,0.6639649385250384,16.26599174083144,47.75857835025518,2019-09-23
Strategy_2_T8334,Strategy_2,-0.0333000000000005,0.663756776525738,47.75857835025518,46.16821769119166,2019-09-24
Strategy_2_T8335,Strategy_2,0.1214999999999992,0.6611815829653158,46.16821769119166,51.777656140671404,2019-09-25
Strategy_2_T8336,Strategy_2,0.0205000000000001,0.6608188028146461,25.888828070335702,52.30837711611329,2019-09-26
Strategy_4_T8337,Strategy_4,0.0205000000000001,0.6594411055250704,25.888828070335702,52.83909809155518,2019-09-26
Strategy_2_T8338,Strategy_2,0.1183999999999994,0.6593720036346712,26.41954904577759,55.96717269857523,2019-09-27
Strategy_4_T8339,Strategy_4,0.1183999999999994,0.658309885060846,26.41954904577759,59.09524730559529,2019-09-27
Strategy_2_T8340,Strategy_2,0.0111000000000007,0.6560387058127135,29.547623652797643,59.42322592814136,2019-09-30
Strategy_4_T8341,Strategy_4,0.0111000000000007,0.6551561121277127,29.547623652797643,59.75120455068744,2019-09-30
Strategy_2_T8342,Strategy_2,0.198599999999999,0.6546430457753173,29.87560227534372,65.68449916257067,2019-10-01
Strategy_4_T8343,Strategy_4,0.198599999999999,0.6543164013392958,29.87560227534372,71.6177937744539,2019-10-01
Strategy_2_T8344,Strategy_2,-0.0434999999999998,0.6523122073458405,35.80889688722695,70.06010675985954,2019-10-02
Strategy_4_T8345,Strategy_4,-0.0434999999999998,0.6515486027946349,35.80889688722695,68.50241974526517,2019-10-02
Strategy_2_T8346,Strategy_2,-0.1435000000000013,0.6513652694898757,68.50241974526517,58.67232251181953,2019-10-03
Strategy_2_T8347,Strategy_2,-0.0975000000000001,0.6511531915342149,58.67232251181953,52.95177106691712,2019-10-04
Strategy_2_T8348,Strategy_2,0.1295000000000001,0.6510462340513177,52.95177106691712,59.80902542008289,2019-10-07
Strategy_4_T8350,Strategy_4,0.1000999999999994,0.6505007554606148,29.904512710041445,62.80246714235802,2019-10-08
Strategy_2_T8349,Strategy_2,0.1000999999999994,0.6504457069066,29.904512710041445,65.79590886463315,2019-10-08
Strategy_2_T8351,Strategy_2,-0.1080999999999985,0.6502055379048199,32.897954432316574,62.239639990499775,2019-10-09
Strategy_4_T8352,Strategy_4,-0.1080999999999985,0.6501395055050202,32.897954432316574,58.6833711163664,2019-10-09
Strategy_2_T8353,Strategy_2,-0.1216000000000008,0.650137971652222,58.6833711163664,51.5474731886162,2019-10-10
Strategy_1_T8354,Strategy_1,0.0532000000000003,0.6488370571201039,51.5474731886162,54.2897987622506,2019-10-14
