Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Allocated_Capital,Total_Cum,Entry_Date
Strategy_2_T8309,Strategy_2,-0.1838000000000015,0.7055295996714288,70.55295996714288,87.03236595803904,2019-08-21
Strategy_2_T8310,Strategy_2,0.0663,0.7031919042308881,61.20045514775299,91.08995613433505,2019-08-22
Strategy_2_T8311,Strategy_2,0.0016999999999995,0.6916384580602201,31.50065840276229,91.14350725361973,2019-08-23
Strategy_4_T8312,Strategy_4,0.0016999999999995,0.6898106703665776,31.417411852343907,91.1969168537687,2019-08-23
Strategy_2_T8313,Strategy_2,-0.0013999999999985,0.68947724777637,31.439099619013447,91.15290211430212,2019-08-26
Strategy_4_T8314,Strategy_4,-0.0013999999999985,0.6880040948232312,31.371926115323305,91.10898141774072,2019-08-26
Strategy_2_T8315,Strategy_2,0.0213999999999998,0.6878361111446261,62.668047468726776,92.45007763357147,2019-08-27
Strategy_2_T8316,Strategy_2,0.1021999999999998,0.6831515929322223,21.052472600693985,94.60164033336238,2019-08-28
Strategy_3_T8317,Strategy_3,0.1021999999999998,0.6826793735957575,21.037920362588572,96.75171579441893,2019-08-28
Strategy_4_T8318,Strategy_4,0.1021999999999998,0.6820105620166741,21.017309801785743,98.89968485616143,2019-08-28
Strategy_2_T8319,Strategy_2,-0.100999999999999,0.6807652580373407,33.6637347404582,95.49964764737518,2019-08-29
Strategy_4_T8320,Strategy_4,-0.100999999999999,0.6804136031182917,33.64634546012217,92.10136675590287,2019-08-29
Strategy_2_T8321,Strategy_2,-0.1168000000000013,0.6761791904367709,62.27702761112653,84.82740993092321,2019-08-30
Strategy_4_T8322,Strategy_4,-0.1547999999999998,0.6741377098067045,57.18535585966708,75.97511684384676,2019-09-03
Strategy_1_T8323,Strategy_1,-0.2956999999999983,0.6714338920033105,51.0122683978703,60.8907890785966,2019-09-04
Strategy_1_T8324,Strategy_1,0.0821999999999985,0.6686530043106417,40.71480905224922,64.23754638269142,2019-09-05
Strategy_4_T8325,Strategy_4,-0.0776000000000003,0.6683785852623597,42.9350003719885,60.9057903538251,2019-09-06
Strategy_4_T8326,Strategy_4,-0.0770999999999997,0.668002853465641,40.685241748935276,57.7689582149822,2019-09-12
Strategy_4_T8327,Strategy_4,0.0513000000000012,0.6672868713432896,38.5484673880367,59.74649459198853,2019-09-17
Strategy_4_T8328,Strategy_4,-0.0252999999999996,0.6663015132246448,39.80917975651001,58.73932234414884,2019-09-18
Strategy_2_T8329,Strategy_2,0.1158999999999998,0.6656193403995208,19.54901449711359,61.0050531243643,2019-09-20
Strategy_4_T8330,Strategy_4,0.1158999999999998,0.665583732891382,19.54796871666437,63.2706626986257,2019-09-20
Strategy_4_T8333,Strategy_4,-0.0213,0.6644941329826081,14.014328051052775,62.97215751113828,2019-09-23
Strategy_2_T8331,Strategy_2,-0.0213,0.6644371117976067,14.013125461665142,62.67367793880481,2019-09-23
Strategy_3_T8332,Strategy_3,-0.0213,0.6639649385250384,14.003167223043818,62.375410476953974,2019-09-23
Strategy_2_T8334,Strategy_2,-0.0333000000000005,0.663756776525738,41.40210139265271,60.99672050057862,2019-09-24
Strategy_2_T8335,Strategy_2,0.1214999999999992,0.6611815829653158,40.3299082162655,65.89680434885484,2019-09-25
Strategy_2_T8336,Strategy_2,0.0205000000000001,0.6608188028146461,21.772923679560613,66.34314928428584,2019-09-26
Strategy_4_T8337,Strategy_4,0.0205000000000001,0.6594411055250704,21.727530755189054,66.78856366476722,2019-09-26
Strategy_2_T8338,Strategy_2,0.1183999999999994,0.6593720036346712,22.01925452175968,69.39564340014356,2019-09-27
Strategy_4_T8339,Strategy_4,0.1183999999999994,0.658309885060846,21.983785834765953,71.99852364297983,2019-09-27
Strategy_2_T8340,Strategy_2,0.0111000000000007,0.6560387058127135,23.616909135583274,72.26067133438482,2019-09-30
Strategy_4_T8341,Strategy_4,0.0111000000000007,0.6551561121277127,23.585136414434935,72.52246634858507,2019-09-30
Strategy_2_T8342,Strategy_2,0.198599999999999,0.6546430457753173,23.73816412878784,77.23686574456231,2019-10-01
Strategy_4_T8343,Strategy_4,0.198599999999999,0.6543164013392958,23.726319598728182,81.94891281686971,2019-10-01
Strategy_2_T8344,Strategy_2,-0.0434999999999998,0.6523122073458405,26.728138104582058,80.7862388093204,2019-10-02
Strategy_4_T8345,Strategy_4,-0.0434999999999998,0.6515486027946349,26.696849823185403,79.62492584201183,2019-10-02
