Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T0,strategy_1,0.0124999999999997,0.48172316067574306,48.17231606757431,25.602153950844663,100.60215395084467,1990-01-03
Strategy_2_T7,strategy_2,-0.0184999999999999,0.414136713260397,41.413671326039704,24.23384708046827,99.83600103131293,1990-01-23
Strategy_4_T19,strategy_1,0.0030000000000001,0.45488249968854316,45.48824996885432,25.738618700751232,99.9724657812195,1990-02-12
Strategy_4_T23,strategy_1,0.0070000000000001,0.4591785824246816,45.917858242468164,26.060043708448514,100.29389078891678,1990-02-16
Strategy_3_T30,strategy_3,0.0019999999999997,0.5461427039976106,54.614270399761054,25.109228540799506,100.40311932971629,1990-02-27
Strategy_4_T37,strategy_1,-0.0024999999999999,0.5100178810641707,51.00178810641707,25.93253923818248,100.27561485945026,1990-03-02
Strategy_2_T39,strategy_2,0.0084999999999997,0.4813080541873337,48.13080541873337,24.642958926527488,100.68472670550948,1990-03-06
Strategy_2_T81,strategy_2,-0.0024999999999999,0.5172494653832086,51.72494653832086,24.51364656018169,100.55541433916368,1990-05-01
Strategy_1_T87,strategy_4,-0.0046000000000003,0.43623158690096514,43.62315869009652,24.799333470025545,100.35474780918922,1990-05-10
Strategy_4_T93,strategy_1,0.0001999999999999,0.4669116690782468,46.69116690782468,25.941877471564037,100.36408604257078,1990-05-23
Strategy_4_T95,strategy_1,-0.0125000000000001,0.4778690598863692,47.78690598863692,25.34454114670607,99.76674971771281,1990-05-24
Strategy_2_T99,strategy_2,0.0053,0.5227879132612034,52.27879132612034,24.790724154210128,100.04382731174125,1990-05-31
Strategy_4_T107,strategy_1,-0.0049999999999998,0.538860156225209,53.8860156225209,25.075111068593475,99.77439723362866,1990-06-07
Strategy_2_T111,strategy_2,-0.0074999999999998,0.5550254872773877,55.50254872773876,24.3744550387521,99.35812811817063,1990-06-13
Strategy_4_T118,strategy_1,-0.0019999999999997,0.4496819514242613,44.96819514242613,24.98517467830864,99.26819172788579,1990-06-21
Strategy_4_T132,strategy_1,-0.0005000000000001,0.42144174791747807,42.14417479174781,24.96410259091276,99.24711964048991,1990-07-16
Strategy_2_T149,strategy_2,-0.0059999999999997,0.4420246847854048,44.20246847854048,24.10924022788087,98.98190482961868,1990-09-04
Strategy_4_T172,strategy_1,-0.0060000000000002,0.43123513966858107,43.123513966858106,24.7053615071116,98.72316374581752,1990-10-02
Strategy_4_T180,strategy_1,0.0030000000000001,0.45602207989604543,45.602207989604544,24.84216813108042,98.85997036978634,1990-10-16
Strategy_2_T217,strategy_2,0.0049999999999998,0.596589201730429,59.658920173042894,24.407534828746073,99.15826497065154,1990-12-24
Strategy_2_T221,strategy_2,0.0,0.48447173888533646,48.44717388853365,24.407534828746073,99.15826497065154,1990-12-26
Strategy_2_T222,strategy_2,0.0,0.4823944246794222,48.23944246794222,24.407534828746073,99.15826497065154,1990-12-27
Strategy_4_T229,strategy_1,-0.0180000000000002,0.5360143888478174,53.601438884781736,23.877342231154337,98.19343907072546,1991-01-08
Strategy_4_T234,strategy_1,-0.0099999999999997,0.47741578048868033,47.741578048868035,23.39992645066567,97.71602329023679,1991-01-14
Strategy_4_T239,strategy_1,-0.0135,0.4227584119839099,42.27584119839099,22.82920259448739,97.14529943405851,1991-01-18
Strategy_4_T248,strategy_1,0.0009999999999998,0.4540035184532284,45.40035184532284,22.874602946332704,97.19069978590383,1991-02-15
Strategy_2_T251,strategy_2,-0.0115000000000002,0.42276159669369157,42.27615966936916,23.92135899254832,96.70452394970607,1991-02-19
Strategy_2_T257,strategy_2,-0.0009999999999998,0.5005690725217468,50.056907252174675,23.871302085296154,96.65446704245392,1991-02-26
Strategy_2_T265,strategy_2,-0.0049999999999998,0.5258641719449366,52.58641719449366,23.608369999323696,96.39153495648145,1991-03-05
Strategy_2_T274,strategy_2,0.0035000000000002,0.6222214855537147,62.22214855537147,23.826147519267508,96.60931247642526,1991-03-15
Strategy_2_T286,strategy_2,0.0060000000000002,0.5249043128558188,52.490431285581884,24.14109010698101,96.92425506413876,1991-03-26
Strategy_2_T291,strategy_2,0.0,0.5935113090223447,59.35113090223447,24.14109010698101,96.92425506413876,1991-03-29
Strategy_2_T315,strategy_2,-0.0150000000000001,0.5117476216758267,51.174762167582664,23.373468674467265,96.15663363162503,1991-05-01
Strategy_4_T319,strategy_1,0.0049999999999998,0.5297547293871961,52.97547293871961,23.13948031102629,96.4215109963186,1991-05-06
Strategy_4_T333,strategy_1,-0.0133999999999998,0.5214951332616473,52.14951332616473,22.440676832455694,95.722707517748,1991-05-21
Strategy_2_T334,strategy_2,0.0,0.48939405715462997,48.939405715462996,23.373468674467265,95.722707517748,1991-05-22
Strategy_2_T353,strategy_2,0.0129999999999999,0.5360654926416569,53.60654926416569,24.070353814901413,96.41959265818215,1991-06-13
Strategy_2_T360,strategy_2,-0.0215,0.48423767324108213,48.42376732410821,23.029242817433087,95.37848166071383,1991-06-19
Strategy_4_T411,strategy_1,-0.0324999999999997,0.4798339202588712,47.98339202588712,20.881216591614375,93.81902141987251,1991-08-28
Strategy_2_T416,strategy_2,-0.0030000000000001,0.4707492336867344,47.07492336867344,22.888018047327062,93.67779664976649,1991-09-03
Strategy_4_T448,strategy_1,0.0024999999999999,0.537954065511441,53.7954065511441,21.01570510799223,93.81228516614433,1991-10-25
Strategy_4_T474,strategy_1,0.004,0.44531472874629774,44.53147287462977,21.19383099949075,93.99041105764286,1991-12-05
