Strategy,Trade_ID,Trade_Type,Entry_Date,Exit_Date,Profit_Loss,Target,Open,High,Low,Last,SMA3_At_Entry,SMA5_At_Entry,SMA7_At_Entry,SMA10_At_Entry,SMA15_At_Entry,SMA50_At_Entry,EMA3_At_Entry,EMA5_At_Entry,EMA7_At_Entry,EMA10_At_Entry,EMA15_At_Entry,EMA50_At_Entry,RSI5_At_Entry,RSI10_At_Entry,RSI15_At_Entry,ATR5_At_Entry,ATR15_At_Entry,BB3_High_At_Entry,BB3_Low_At_Entry,BB3_MAvg_At_Entry,BB5_High_At_Entry,BB5_Low_At_Entry,BB5_MAvg_At_Entry,BB10_High_At_Entry,BB10_Low_At_Entry,BB10_MAvg_At_Entry,BB15_High_At_Entry,BB15_Low_At_Entry,BB15_MAvg_At_Entry,MACD_At_Entry,ROC14_At_Entry,ROC15_At_Entry,Stoch5_K_At_Entry,Stoch5_D_At_Entry,Stoch7_K_At_Entry,Stoch7_D_At_Entry,Stoch21_K_At_Entry,Stoch21_D_At_Entry,Day_Of_Week_At_Entry
Strategy_4,Strategy_4_T2,long,1990-03-13,1990-03-13,0.0129999999999999,1.0,2.607,2.623,2.607,2.62,2.6053333333333333,2.5976,2.591357142857143,2.58675,2.5723333333333334,2.5557920000000003,2.608454973471226,2.600917393135581,2.595092426022193,2.588094787036484,2.5796861156020925,2.5612556414233776,89.0727964731574,78.72012529221233,72.29245286127392,0.0130533537903785,0.0139344519704036,2.630754234619917,2.5799124320467497,2.6053333333333333,2.62518550343931,2.57001449656069,2.5976,2.619595852097333,2.5539041479026667,2.58675,2.621806109236406,2.5228605574302607,2.5723333333333334,0.0148218784414426,3.312302839116722,3.169915337664904,92.49999999999972,91.59554482018252,94.736842105263,93.74825953773326,96.66666666666656,96.22222222222224,1.0
Strategy_4,Strategy_4_T4,long,1990-03-14,1990-03-14,-0.0005000000000001,0.0,2.623,2.623,2.619,2.6225,2.6165000000000003,2.6055,2.5989285714285715,2.5932000000000004,2.5781,2.5566820000000003,2.615477486735613,2.6081115954237206,2.6019443195166447,2.594350280302578,2.5850378511518306,2.5636573809754024,89.74582448602598,79.37830335722316,72.8717395637642,0.0112426830323028,0.0132721551723767,2.630089211407092,2.6029107885929084,2.6165000000000003,2.634427495570827,2.576572504429173,2.6055,2.6262611554547006,2.5601388445453,2.5932000000000004,2.6294188724220127,2.5267811275779875,2.5781,0.0167702613403109,3.451676528599602,3.4108832807570986,98.6486486486482,96.0833659746702,98.98989898989863,97.11526290473653,99.44444444444426,98.2592592592592,2.0
Strategy_4,Strategy_4_T9,long,1990-03-20,1990-03-20,0.0034999999999998,1.0,2.609,2.6125,2.609,2.6125,2.6061666666666663,2.6122,2.6125714285714285,2.6049,2.5952333333333333,2.5627120000000003,2.609842342920976,2.60900352502197,2.606927694847063,2.602598127796272,2.5951093458534045,2.5704419219036327,62.84898679719543,65.3957705903996,64.16632481771045,0.0103354029700311,0.0124244861847313,2.6157002330973818,2.596633100235951,2.6061666666666663,2.628796385148587,2.595603614851413,2.6122,2.631943668390213,2.5778563316097864,2.6049,2.63247285833329,2.5579938083333764,2.5952333333333333,0.0165488063365661,2.130570758405004,2.3305914610262395,59.99999999999935,39.65226030799774,63.93442622950776,50.35909445745517,87.84530386740319,80.84714548802945,1.0
Strategy_4,Strategy_4_T11,long,1990-03-21,1990-03-21,0.0165000000000001,1.0,2.6125,2.6325,2.6125,2.629,2.6154999999999995,2.6135,2.6157142857142857,2.6095,2.5999666666666665,2.564442,2.619421171460488,2.615669016681313,2.612445771135297,2.607398468196949,2.599345677621729,2.572738317123098,75.33038222637683,71.76040189220407,68.74904433715079,0.0122683223760249,0.0129295204390825,2.6355499376557625,2.5954500623442365,2.6154999999999995,2.633738577025084,2.5932614229749165,2.6135,2.635714499804494,2.5832855001955064,2.6095,2.635059812562825,2.564873520770508,2.5999666666666665,0.0176748035820413,1.6431471099942,2.7756059421423056,90.41095890410998,61.046077210460616,90.41095890410998,67.16274742549174,96.48241206030168,87.96190899247621,2.0
Strategy_4,Strategy_4_T13,long,1990-03-22,1990-03-22,-0.0059999999999997,0.0,2.631,2.636,2.625,2.625,2.6221666666666668,2.6145,2.616428571428571,2.6131,2.6025333333333336,2.566092,2.622210585730244,2.618779344454209,2.6155843283514733,2.6105987467065948,2.602552467919013,2.574787794882977,68.36983954714007,68.37303332623928,66.53877107102974,0.0120146579008199,0.0128008857431437,2.636222112428205,2.6081112209051285,2.6221666666666668,2.636354061407442,2.592645938592558,2.6145,2.63683520591863,2.58936479408137,2.6131,2.638919166962496,2.5661474997041718,2.6025333333333336,0.0180364845739995,1.606347977549839,1.4884979702300398,72.49999999999972,74.30365296803635,72.49999999999972,75.6151283778725,89.10891089108898,91.14554227293128,3.0
Strategy_4,Strategy_4_T16,long,1990-03-26,1990-03-26,-0.0005000000000001,0.0,2.648,2.657,2.6475,2.6475,2.6348333333333334,2.6292,2.621714285714286,2.6214500000000003,2.6109666666666667,2.5696320000000004,2.637302646432561,2.6312908197574267,2.626641184697704,2.620491723001935,2.611391733250495,2.5797948848573733,82.04443514317045,75.99664841018928,72.19199077838309,0.0139693810565247,0.0133154382473607,2.6536364063682267,2.61603026029844,2.6348333333333334,2.651815039243839,2.606584960756161,2.6292,2.6470134504713223,2.5958865495286783,2.6214500000000003,2.648683977752636,2.573249355580697,2.6109666666666667,0.0201948561433251,2.536793183578626,3.035610040863975,80.20833333333321,80.90277777777764,84.4262295081966,82.30874316939878,91.5178571428571,92.10856425504296,0.0
Strategy_4,Strategy_4_T22,long,1990-04-02,1990-04-02,0.0074999999999998,1.0,2.665,2.6725,2.665,2.6725,2.6585,2.6569,2.652,2.64305,2.633266666666666,2.579012,2.662259457701017,2.656575334289044,2.6515554764468177,2.644577858886571,2.6340667682110923,2.5938269938451928,84.47100204948734,79.01387230020973,75.24017559744802,0.012935086784602,0.0130602531818252,2.6791074420214303,2.637892557978569,2.6585,2.6733487081559777,2.640451291844021,2.6569,2.677083659809071,2.609016340190929,2.64305,2.673799561401139,2.592733771932194,2.633266666666666,0.0242370177916466,2.003816793893121,2.5124664365170566,100.0,67.13124274099853,100.0,81.07626790553611,100.0,91.38608305274968,0.0
Strategy_4,Strategy_4_T24,long,1990-04-03,1990-04-03,-0.0125000000000001,0.0,2.6675,2.6675,2.655,2.655,2.660833333333333,2.6569,2.6552857142857142,2.6473,2.6356,2.5810820000000003,2.6586297288505083,2.656050222859363,2.652416607335113,2.646472793634467,2.636683422184706,2.5962259352630284,57.4530210062069,64.67623572911363,65.63536497354693,0.0138480694276816,0.0133562363030369,2.6773324915610184,2.644334175105648,2.660833333333333,2.673348708155978,2.640451291844021,2.6569,2.675045990701353,2.619554009298647,2.6473,2.6768329964955284,2.594367003504471,2.6356,0.0236216894805476,1.239275500476635,1.3358778625954082,28.571428571427536,57.14285714285643,29.999999999999467,68.53658536585328,82.3232323232322,90.74074074074063,1.0
Strategy_4,Strategy_4_T37,long,1990-05-01,1990-05-01,-0.0024999999999999,0.0,2.6675,2.6675,2.654,2.665,2.657,2.6549,2.655142857142857,2.65375,2.6517666666666666,2.62298,2.6603655945107736,2.657726934876949,2.6562205449234155,2.654738402260603,2.6525388051241783,2.626986153834306,65.5252274827836,62.15425110239077,61.9117038657791,0.0142107293944509,0.011853001002839,2.677542638584173,2.636457361415827,2.657,2.672465876010052,2.637334123989948,2.6549,2.667071035995729,2.640428964004271,2.65375,2.664399252396539,2.639134080936794,2.6517666666666666,0.008454478021235,0.7942511346444745,0.8514664143803203,90.00000000000018,61.111111111111086,90.00000000000018,61.11111111111109,90.00000000000018,53.33333333333345,1.0
Strategy_4,Strategy_4_T41,long,1990-05-04,1990-05-04,-0.012,0.0,2.6595,2.6643,2.6475,2.6475,2.6555,2.6590000000000003,2.6562142857142854,2.65525,2.6536,2.62999,2.6541706993138465,2.655307980704281,2.655327417389566,2.6548319273087757,2.653398066714049,2.6301993276526545,40.64827558713558,47.1708747442172,50.9934736056144,0.0134838934499589,0.0119557436301601,2.6689907375632305,2.642009262436769,2.6555,2.672549907748784,2.6454500922512163,2.6590000000000003,2.669736200329952,2.640763799670048,2.65525,2.666557365987488,2.640642634012512,2.6536,0.0068750099073771,0.0,0.0,0.0,45.33333333333324,19.999999999999645,51.99999999999981,19.999999999999645,51.999999999999794,4.0
