Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T0,strategy_1,0.0124999999999997,0.4595113629071282,-0.08097727418574363,11.487784072678204,25.143597300908475,100.14359730090848,1990-01-03
Strategy_2_T7,strategy_2,-0.0184999999999999,0.30563927630118437,-0.38872144739763126,7.6519541513117275,24.858438848200734,100.00203614910922,1990-01-23
Strategy_4_T19,strategy_1,0.0030000000000001,0.42767606198854685,-0.1446478760229063,10.692119252771834,25.175673658666792,100.03411250686753,1990-02-12
Strategy_4_T23,strategy_1,0.0070000000000001,0.44808049645118436,-0.10383900709763128,11.205833698532707,25.25411449455652,100.11255334275725,1990-02-16
Strategy_3_T30,strategy_3,0.0019999999999997,0.5674059706926131,0.13481194138522623,14.201115126990796,25.028402230253977,100.14095557301123,1990-02-27
Strategy_4_T37,strategy_1,-0.0024999999999999,0.5266975864570502,0.05339517291410045,13.185999901451927,25.221149494802894,100.10799057325761,1990-03-02
Strategy_2_T39,strategy_2,0.0084999999999997,0.48671009518473685,-0.026579809630526308,12.180892405165737,24.96197643364464,100.21152815870151,1990-03-06
Strategy_2_T81,strategy_2,-0.0024999999999999,0.5770818966411461,0.15416379328229213,14.45756468378277,24.925832521935185,100.17538424699205,1990-05-01
Strategy_1_T87,strategy_4,-0.0046000000000003,0.43216917877523586,-0.13566164244952827,10.823178385879064,24.95021337942495,100.125597626417,1990-05-10
Strategy_4_T93,strategy_1,0.0001999999999999,0.37955430902185827,-0.24089138195628346,9.50077550562383,25.223049649904016,100.12749778151813,1990-05-23
Strategy_4_T95,strategy_1,-0.0125000000000001,0.4574217141077301,-0.08515657178453984,11.45012291613499,25.079923113452327,99.98437124506644,1990-05-24
Strategy_2_T99,strategy_2,0.0053,0.5707628397857645,0.14152567957152895,14.266840916507064,25.001446778792673,100.05998550192393,1990-05-31
Strategy_4_T107,strategy_1,-0.0049999999999998,0.5486836666362817,0.0973673332725633,13.725319932192201,25.01129651379137,99.99135890226297,1990-06-07
Strategy_2_T111,strategy_2,-0.0074999999999998,0.5679160024539915,0.13583200490798308,14.196673206928882,24.89497172974071,99.88488385321101,1990-06-13
Strategy_4_T118,strategy_1,-0.0019999999999997,0.4638366080625217,-0.07232678387495661,11.582566430798083,24.988131380929776,99.86171872034942,1990-06-21
Strategy_4_T132,strategy_1,-0.0005000000000001,0.4058356777327564,-0.18832864453448717,10.131862074107723,24.98306544989272,99.85665278931236,1990-07-16
Strategy_2_T149,strategy_2,-0.0059999999999997,0.3736706332333787,-0.25265873353324264,9.328374670086994,24.839001481720192,99.80068254129183,1990-09-04
Strategy_4_T172,strategy_1,-0.0060000000000002,0.40752484114256743,-0.18495031771486514,10.16781432463994,24.92205856394488,99.739675655344,1990-10-02
Strategy_4_T180,strategy_1,0.0030000000000001,0.4409627709481175,-0.11807445810376505,10.995370937611746,24.955044676757716,99.77266176815684,1990-10-16
Strategy_2_T217,strategy_2,0.0049999999999998,0.6733094073079509,0.3466188146159017,16.79446794016358,24.922973821421007,99.85663410785764,1990-12-24
Strategy_2_T221,strategy_2,0.0,0.49698648071099105,-0.006027038578017896,12.40684929022732,24.922973821421007,99.85663410785764,1990-12-26
Strategy_2_T222,strategy_2,0.0,0.43976545987021387,-0.12046908025957226,10.978374654883424,24.922973821421007,99.85663410785764,1990-12-27
Strategy_4_T229,strategy_1,-0.0180000000000002,0.5143362991589406,0.02867259831788127,12.839972908375985,24.723925164406946,99.62551459550689,1991-01-08
Strategy_4_T234,strategy_1,-0.0099999999999997,0.4602390690747959,-0.07952186185040822,11.462888523383395,24.609296279173115,99.51088571027304,1991-01-14
Strategy_4_T239,strategy_1,-0.0135,0.40524726104575626,-0.18950547790848749,10.081628469581359,24.473194294833768,99.3747837259337,1991-01-18
Strategy_4_T248,strategy_1,0.0009999999999998,0.42694436420615134,-0.14611127158769732,10.606875963998139,24.483801170797765,99.3853906018977,1991-02-15
Strategy_2_T251,strategy_2,-0.0115000000000002,0.396085985680319,-0.207828028639362,9.84129009969404,24.809798985274522,99.27221576575121,1991-02-19
Strategy_2_T257,strategy_2,-0.0009999999999998,0.49979080761496003,-0.00041838477007993813,12.403835222822842,24.797395150051702,99.2598119305284,1991-02-26
Strategy_2_T265,strategy_2,-0.0049999999999998,0.5176109355698753,0.035221871139750505,12.844491029462668,24.733172694904393,99.19558947538108,1991-03-05
Strategy_2_T274,strategy_2,0.0035000000000002,0.5805275693359825,0.16105513867196497,14.396443611748236,24.783560247545516,99.24597702802221,1991-03-15
Strategy_2_T286,strategy_2,0.0060000000000002,0.4939630749347095,-0.012073850130581043,12.255961996915348,24.85709601952701,99.31951280000371,1991-03-26
Strategy_2_T291,strategy_2,0.0,0.6236828912013477,0.24736578240269536,15.485970223953892,24.85709601952701,99.31951280000371,1991-03-29
Strategy_2_T315,strategy_2,-0.0150000000000001,0.5232722850761509,0.046544570152301734,12.992787103876989,24.662204212968852,99.12462099344555,1991-05-01
Strategy_4_T319,strategy_1,0.0049999999999998,0.520580494896098,0.04116098979219607,12.900586063289008,24.54830410111421,99.18912392376198,1991-05-06
Strategy_4_T333,strategy_1,-0.0133999999999998,0.5608576434080184,0.12171528681603672,13.90774457389676,24.361940323823994,99.00276014647177,1991-05-21
Strategy_2_T334,strategy_2,0.0,0.431516169416397,-0.13696766116720605,10.680322955013956,24.662204212968852,99.00276014647177,1991-05-22
