Trade_ID,Strategy,Entry_Date,Exit_Date,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum
Strategy_2_T2952,Strategy_2,2000-02-15,2000-02-15,0.0087999999999999,0.6371113972539625,0.27422279450792497,547.0329233383043,73.41565559397036,551.8468130636813
Strategy_4_T2954,Strategy_4,2000-02-16,2000-02-16,-0.0292000000000003,0.5449962885872467,0.08999257717449338,551.8468130636813,259.18690415242986,535.7328861222217
Strategy_2_T2957,Strategy_2,2000-02-21,2000-02-21,-0.0300000000000002,0.4159133384677413,-0.16817332306451738,535.7328861222217,57.3436690103036,519.6608995385549
Strategy_4_T2982,Strategy_4,2000-03-14,2000-03-14,-0.0219000000000004,0.4701597488231399,-0.059680502353720244,519.6608995385549,247.8063304525353,508.2803258386603
Strategy_2_T3002,Strategy_2,2000-03-31,2000-03-31,-0.0699999999999994,0.48055970022654426,-0.038880599546911476,245.62117790647602,40.15018655685043,491.08684338520715
Strategy_4_T3003,Strategy_4,2000-03-31,2000-03-31,-0.0699999999999994,0.5138946179963012,0.027789235992602412,262.6591479321843,229.42019009728256,472.7007030299544
Strategy_2_T3005,Strategy_2,2000-04-04,2000-04-04,-0.0024999999999995,0.4649803669416851,-0.0700392661166298,472.7007030299544,38.96843479927578,471.51895127237975
Strategy_2_T3015,Strategy_2,2000-04-13,2000-04-13,-0.0095,0.4666257717193744,-0.06674845656125117,471.51895127237975,34.489004762188166,467.03952123529217
Strategy_4_T3019,Strategy_4,2000-04-17,2000-04-17,0.008,0.5525772649459533,0.10515452989190655,467.03952123529217,233.1565062671649,470.7758374051745
Strategy_2_T3025,Strategy_2,2000-04-21,2000-04-21,0.0076,0.5688129321683565,0.13762586433671298,470.7758374051745,38.06690112646749,474.3537337694538
Strategy_4_T3033,Strategy_4,2000-04-27,2000-04-27,0.0259999999999998,0.6033998365776321,0.20679967315526415,234.56029026167462,239.25507381396838,480.4523013162573
Strategy_2_T3032,Strategy_2,2000-04-27,2000-04-27,0.0259999999999998,0.616861978059306,0.23372395611861196,239.79344350777916,44.3015306576697,486.6869308474595
