Trade_ID,Strategy,Entry_Date,Exit_Date,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum
Strategy_4_T0,Strategy_4,1990-01-03,1990-01-03,0.0124999999999997,0.4595113629071282,-0.08097727418574363,80.0,100.99999999999997,401.0
Strategy_2_T7,Strategy_2,1990-01-23,1990-01-23,-0.0184999999999999,0.30563927630118437,-0.38872144739763126,80.2,98.5163,399.5163
Strategy_4_T19,Strategy_4,1990-02-12,1990-02-12,0.0030000000000001,0.42767606198854685,-0.1446478760229063,79.90326,101.23970977999998,399.75600978
Strategy_4_T23,Strategy_4,1990-02-16,1990-02-16,0.0070000000000001,0.44808049645118436,-0.10383900709763128,79.951201956,101.79936819369199,400.315668193692
Strategy_3_T30,Strategy_3,1990-02-27,1990-02-27,0.0019999999999997,0.5674059706926131,0.13481194138522623,80.0631336387384,100.16012626727745,400.47579446096944
Strategy_4_T37,Strategy_4,1990-03-02,1990-03-02,-0.0024999999999999,0.5266975864570502,0.05339517291410045,80.0951588921939,101.59913029646151,400.275556563739
Strategy_2_T39,Strategy_2,1990-03-06,1990-03-06,0.0084999999999997,0.48671009518473685,-0.026579809630526308,80.0551113127478,99.19676844615833,400.9560250098973
Strategy_2_T81,Strategy_2,1990-05-01,1990-05-01,-0.0024999999999999,0.5770818966411461,0.15416379328229213,80.19120500197947,98.99629043365339,400.75554699739234
Strategy_1_T87,Strategy_1,1990-05-10,1990-05-10,-0.0046000000000003,0.43216917877523586,-0.13566164244952827,80.15110939947847,99.63130489676237,400.3868518941547
Strategy_4_T93,Strategy_4,1990-05-23,1990-05-23,0.0001999999999999,0.37955430902185827,-0.24089138195628346,80.07737037883095,101.61514577053727,400.40286736823043
Strategy_4_T95,Strategy_4,1990-05-24,1990-05-24,-0.0125000000000001,0.4574217141077301,-0.08515657178453984,80.0805734736461,100.61413860211668,399.4018601998099
Strategy_2_T99,Strategy_2,1990-05-31,1990-05-31,0.0053,0.5707628397857645,0.14152567957152895,79.88037203996198,99.41965640546519,399.8252261716217
Strategy_4_T107,Strategy_4,1990-06-07,1990-06-07,-0.0049999999999998,0.5486836666362817,0.0973673332725633,79.96504523432435,100.21431337594508,399.42540094545006
Strategy_2_T111,Strategy_2,1990-06-13,1990-06-13,-0.0074999999999998,0.5679160024539915,0.13583200490798308,79.88508018909002,98.82051830404703,398.82626284403193
Strategy_4_T118,Strategy_4,1990-06-21,1990-06-21,-0.0019999999999997,0.4638366080625217,-0.07232678387495661,79.76525256880639,100.05478287080749,398.66673233889435
Strategy_4_T132,Strategy_4,1990-07-16,1990-07-16,-0.0005000000000001,0.4058356777327564,-0.18832864453448717,79.73334646777887,100.01491619757358,398.6268656656605
Strategy_2_T149,Strategy_2,1990-09-04,1990-09-04,-0.0059999999999997,0.3736706332333787,-0.25265873353324264,79.72537313313211,98.34216606524826,398.14851342686165
Strategy_4_T172,Strategy_4,1990-10-02,1990-10-02,-0.0060000000000002,0.40752484114256743,-0.18495031771486514,79.62970268537234,99.53713798146133,397.6707352107494
Strategy_4_T180,Strategy_4,1990-10-16,1990-10-16,0.0030000000000001,0.4409627709481175,-0.11807445810376505,79.53414704214988,99.77574042258779,397.90933765187583
Strategy_2_T217,Strategy_2,1990-12-24,1990-12-24,0.0049999999999998,0.6733094073079509,0.3466188146159017,79.58186753037518,98.74007540290012,398.3072469895277
Strategy_2_T221,Strategy_2,1990-12-26,1990-12-26,0.0,0.49698648071099105,-0.006027038578017896,79.66144939790554,98.74007540290012,398.3072469895277
Strategy_2_T222,Strategy_2,1990-12-27,1990-12-27,0.0,0.43976545987021387,-0.12046908025957226,79.66144939790554,98.74007540290012,398.3072469895277
Strategy_4_T229,Strategy_4,1991-01-08,1991-01-08,-0.0180000000000002,0.5143362991589406,0.02867259831788127,79.66144939790554,98.34183433342547,396.8733409003654
Strategy_4_T234,Strategy_4,1991-01-14,1991-01-14,-0.0099999999999997,0.4602390690747959,-0.07952186185040822,79.37466818007309,97.54808765162475,396.0795942185647
Strategy_4_T239,Strategy_4,1991-01-18,1991-01-18,-0.0135,0.40524726104575626,-0.18950547790848749,79.21591884371294,96.47867274723463,395.0101793141746
Strategy_4_T248,Strategy_4,1991-02-15,1991-02-15,0.0009999999999998,0.42694436420615134,-0.14611127158769732,79.00203586283493,96.55767478309744,395.0891813500374
Strategy_2_T251,Strategy_2,1991-02-19,1991-02-19,-0.0115000000000002,0.396085985680319,-0.207828028639362,79.01783627000748,97.83137028579502,394.1804762329323
Strategy_2_T257,Strategy_2,1991-02-26,1991-02-26,-0.0009999999999998,0.49979080761496003,-0.00041838477007993813,78.83609524658647,97.75253419054845,394.10164013768576
Strategy_2_T265,Strategy_2,1991-03-05,1991-03-05,-0.0049999999999998,0.5176109355698753,0.035221871139750505,78.82032802753716,97.35843255041078,393.70753849754806
Strategy_2_T274,Strategy_2,1991-03-15,1991-03-15,0.0035000000000002,0.5805275693359825,0.16105513867196497,78.74150769950961,97.63402782735908,393.9831337744963
Strategy_2_T286,Strategy_2,1991-03-26,1991-03-26,0.0060000000000002,0.4939630749347095,-0.012073850130581043,78.79662675489926,98.10680758788848,394.45591353502573
Strategy_2_T291,Strategy_2,1991-03-29,1991-03-29,0.0,0.6236828912013477,0.24736578240269536,78.89118270700516,98.10680758788848,394.45591353502573
Strategy_2_T315,Strategy_2,1991-05-01,1991-05-01,-0.0150000000000001,0.5232722850761509,0.046544570152301734,78.89118270700516,96.92343984728339,393.2725457944207
