Trade_ID,Strategy,Entry_Date,Exit_Date,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum
Strategy_2_T2272,Strategy_2,1997-10-31,1997-10-31,-0.0205000000000001,0.5426856637414125,0.08537132748282494,418.2495146791467,95.41512997094858,409.6753996282241
Strategy_2_T2275,Strategy_2,1997-11-04,1997-11-04,0.0270000000000001,0.5951955267438598,0.19039105348771956,409.6753996282241,106.47636576091068,420.7366354181862
Strategy_2_T2301,Strategy_2,1997-11-26,1997-11-26,-0.0020000000000006,0.4945040171896854,-0.010991965620629207,420.7366354181862,105.63489249007405,419.89516214734965
Strategy_4_T2337,Strategy_4,1998-01-09,1998-01-09,-0.008,0.4880290584517482,-0.02394188309650358,419.89516214734965,107.67072752895153,416.5360008501708
Strategy_2_T2348,Strategy_2,1998-01-21,1998-01-21,-0.016,0.5742917280672233,0.14858345613444657,416.5360008501708,98.97031647647131,409.87142483656805
Strategy_2_T2354,Strategy_2,1998-02-12,1998-02-12,0.0019999999999997,0.529845060026368,0.059690120052735995,409.87142483656805,99.79005932614433,410.6911676862411
Strategy_4_T2358,Strategy_4,1998-02-13,1998-02-13,-0.0030000000000001,0.41656327757947,-0.16687344484106004,410.6911676862411,106.43865402589276,409.4590941831823
Strategy_2_T2361,Strategy_2,1998-02-18,1998-02-18,0.0045000000000001,0.4011493358439175,-0.19770132831216503,409.4590941831823,101.6326252499687,411.3016601070067
Strategy_2_T2388,Strategy_2,1998-03-18,1998-03-18,0.0034999999999998,0.5845890836507516,0.16917816730150315,205.65083005350334,102.35240315515591,412.0214380121939
Strategy_4_T2389,Strategy_4,1998-03-18,1998-03-18,0.0034999999999998,0.45251643068450403,-0.09496713863099193,205.65083005350334,107.15843193107997,412.74121591738117
Strategy_2_T2392,Strategy_2,1998-03-20,1998-03-20,0.0055000000000005,0.6018405995586926,0.20368119911738525,412.74121591738117,104.62247984270172,415.0112926049269
Strategy_4_T2404,Strategy_4,1998-04-02,1998-04-02,-0.0090000000000003,0.5214078661024639,0.04281573220492785,415.0112926049269,103.4233302976355,411.2761909714825
