Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T0,strategy_1,0.0124999999999997,0.48172316067574306,25.0,25.312499999999993,100.3125,1990-01-03
Strategy_2_T7,strategy_2,-0.0184999999999999,0.414136713260397,25.078125,24.536054687500002,99.8485546875,1990-01-23
Strategy_4_T19,strategy_1,0.0030000000000001,0.45488249968854316,24.962138671875,25.38738641601562,99.92344110351561,1990-02-12
Strategy_4_T23,strategy_1,0.0070000000000001,0.4591785824246816,24.980860275878904,25.562252437946775,100.09830712544678,1990-02-16
Strategy_3_T30,strategy_3,0.0019999999999997,0.5461427039976106,25.024576781361695,25.050049153562714,100.14835627900949,1990-02-27
Strategy_4_T37,strategy_1,-0.0024999999999999,0.5100178810641707,25.037089069752373,25.499659715272397,100.08576355633511,1990-03-02
Strategy_2_T39,strategy_2,0.0084999999999997,0.4813080541873337,25.021440889083777,24.748736935057206,100.29844580389232,1990-03-06
Strategy_2_T81,strategy_2,-0.0024999999999999,0.5172494653832086,25.07461145097308,24.686050406429775,100.23575927526488,1990-05-01
Strategy_1_T87,strategy_4,-0.0046000000000003,0.43623158690096514,25.05893981881622,24.88472887683344,100.12048815209832,1990-05-10
Strategy_4_T93,strategy_1,0.0001999999999999,0.4669116690782468,25.03012203802458,25.50466573968,100.12549417650592,1990-05-23
Strategy_4_T95,strategy_1,-0.0125000000000001,0.4778690598863692,25.03137354412648,25.191773570378416,99.81260200720433,1990-05-24
Strategy_2_T99,strategy_2,0.0053,0.5227879132612034,24.953150501801083,24.81830210408932,99.94485370486389,1990-05-31
Strategy_4_T107,strategy_1,-0.0049999999999998,0.538860156225209,24.986213426215972,25.06684250324734,99.8199226377328,1990-06-07
Strategy_2_T111,strategy_2,-0.0074999999999998,0.5550254872773877,24.9549806594332,24.631139749143575,99.63276028278706,1990-06-13
Strategy_4_T118,strategy_1,-0.0019999999999997,0.4496819514242613,24.908190070696765,25.017026123105953,99.58294390264568,1990-06-21
Strategy_4_T132,strategy_1,-0.0005000000000001,0.42144174791747807,24.89573597566142,25.00457825511812,99.57049603465784,1990-07-16
Strategy_2_T149,strategy_2,-0.0059999999999997,0.4420246847854048,24.89262400866446,24.481784005091594,99.42114029060586,1990-09-04
Strategy_4_T172,strategy_1,-0.0060000000000002,0.43123513966858107,24.855285072651466,24.855446544682206,99.27200858016995,1990-10-02
Strategy_4_T180,strategy_1,0.0030000000000001,0.45602207989604543,24.818002145042488,24.929900551117335,99.34646258660507,1990-10-16
Strategy_2_T217,strategy_2,0.0049999999999998,0.596589201730429,24.836615646651268,24.605967083324845,99.47064566483833,1990-12-24
Strategy_2_T221,strategy_2,0.0,0.48447173888533646,24.867661416209582,24.605967083324845,99.47064566483833,1990-12-26
Strategy_2_T222,strategy_2,0.0,0.4823944246794222,24.867661416209582,24.605967083324845,99.47064566483833,1990-12-27
Strategy_4_T229,strategy_1,-0.0180000000000002,0.5360143888478174,24.867661416209582,24.482282645625556,99.02302775934655,1991-01-08
Strategy_4_T234,strategy_1,-0.0099999999999997,0.47741578048868033,24.755756939836637,24.234725076227196,98.7754701899482,1991-01-14
Strategy_4_T239,strategy_1,-0.0135,0.4227584119839099,24.69386754748705,23.90135786433612,98.44210297805711,1991-01-18
Strategy_4_T248,strategy_1,0.0009999999999998,0.4540035184532284,24.610525744514277,23.92596839008063,98.46671350380163,1991-02-15
Strategy_2_T251,strategy_2,-0.0115000000000002,0.42276159669369157,24.616678375950407,24.322875282001412,98.18362170247819,1991-02-19
Strategy_2_T257,strategy_2,-0.0009999999999998,0.5005690725217468,24.545905425619548,24.298329376575797,98.15907579705258,1991-02-26
Strategy_2_T265,strategy_2,-0.0049999999999998,0.5258641719449366,24.539768949263145,24.175630531829487,98.03637695230627,1991-03-05
Strategy_2_T274,strategy_2,0.0035000000000002,0.6222214855537147,24.509094238076568,24.26141236166276,98.12215878213954,1991-03-15
Strategy_2_T286,strategy_2,0.0060000000000002,0.5249043128558188,24.530539695534884,24.408595599835973,98.26934202031275,1991-03-26
Strategy_2_T291,strategy_2,0.0,0.5935113090223447,24.567335505078187,24.408595599835973,98.26934202031275,1991-03-29
Strategy_2_T315,strategy_2,-0.0150000000000001,0.5117476216758267,24.567335505078187,24.040085567259798,97.90083198773658,1991-05-01
Strategy_4_T319,strategy_1,0.0049999999999998,0.5297547293871961,24.475207996934145,24.048344430065296,98.02320802772124,1991-05-06
Strategy_4_T333,strategy_1,-0.0133999999999998,0.5214951332616473,24.50580200693031,23.719966683172434,97.69483028082838,1991-05-21
Strategy_2_T334,strategy_2,0.0,0.48939405715462997,24.423707570207096,24.040085567259798,97.69483028082838,1991-05-22
Strategy_2_T353,strategy_2,0.0129999999999999,0.5360654926416569,24.423707570207096,24.357593765672487,98.01233847924107,1991-06-13
Strategy_2_T360,strategy_2,-0.0215,0.48423767324108213,24.503084619810267,23.830777446346566,97.48552215991515,1991-06-19
Strategy_4_T411,strategy_1,-0.0324999999999997,0.4798339202588712,24.371380539978787,22.92789681562313,96.69345229236585,1991-08-28
Strategy_2_T416,strategy_2,-0.0030000000000001,0.4707492336867344,24.173363073091462,23.758257357127288,96.62093220314657,1991-09-03
Strategy_4_T448,strategy_1,0.0024999999999999,0.537954065511441,24.15523305078664,22.988284898250093,96.68132028577352,1991-10-25
Strategy_4_T474,strategy_1,0.004,0.44531472874629774,24.17033007144338,23.084966218535868,96.7780016060593,1991-12-05
