Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T0,strategy_1,0.0124999999999997,0.4595113629071282,-0.08097727418574363,25.0,25.312499999999993,100.3125,1990-01-03
Strategy_2_T7,strategy_2,-0.0184999999999999,0.30563927630118437,-0.38872144739763126,25.078125,24.536054687500002,99.8485546875,1990-01-23
Strategy_4_T19,strategy_1,0.0030000000000001,0.42767606198854685,-0.1446478760229063,24.962138671875,25.38738641601562,99.92344110351561,1990-02-12
Strategy_4_T23,strategy_1,0.0070000000000001,0.44808049645118436,-0.10383900709763128,24.980860275878904,25.562252437946775,100.09830712544678,1990-02-16
Strategy_3_T30,strategy_3,0.0019999999999997,0.5674059706926131,0.13481194138522623,25.024576781361695,25.050049153562714,100.14835627900949,1990-02-27
Strategy_4_T37,strategy_1,-0.0024999999999999,0.5266975864570502,0.05339517291410045,25.037089069752373,25.499659715272397,100.08576355633511,1990-03-02
Strategy_2_T39,strategy_2,0.0084999999999997,0.48671009518473685,-0.026579809630526308,25.021440889083777,24.748736935057206,100.29844580389232,1990-03-06
Strategy_2_T81,strategy_2,-0.0024999999999999,0.5770818966411461,0.15416379328229213,25.07461145097308,24.686050406429775,100.23575927526488,1990-05-01
Strategy_1_T87,strategy_4,-0.0046000000000003,0.43216917877523586,-0.13566164244952827,25.05893981881622,24.88472887683344,100.12048815209832,1990-05-10
Strategy_4_T93,strategy_1,0.0001999999999999,0.37955430902185827,-0.24089138195628346,25.03012203802458,25.50466573968,100.12549417650592,1990-05-23
Strategy_4_T95,strategy_1,-0.0125000000000001,0.4574217141077301,-0.08515657178453984,25.03137354412648,25.191773570378416,99.81260200720433,1990-05-24
Strategy_2_T99,strategy_2,0.0053,0.5707628397857645,0.14152567957152895,24.953150501801083,24.81830210408932,99.94485370486389,1990-05-31
Strategy_4_T107,strategy_1,-0.0049999999999998,0.5486836666362817,0.0973673332725633,24.986213426215972,25.06684250324734,99.8199226377328,1990-06-07
Strategy_2_T111,strategy_2,-0.0074999999999998,0.5679160024539915,0.13583200490798308,24.9549806594332,24.631139749143575,99.63276028278706,1990-06-13
Strategy_4_T118,strategy_1,-0.0019999999999997,0.4638366080625217,-0.07232678387495661,24.908190070696765,25.017026123105953,99.58294390264568,1990-06-21
Strategy_4_T132,strategy_1,-0.0005000000000001,0.4058356777327564,-0.18832864453448717,24.89573597566142,25.00457825511812,99.57049603465784,1990-07-16
Strategy_2_T149,strategy_2,-0.0059999999999997,0.3736706332333787,-0.25265873353324264,24.89262400866446,24.481784005091594,99.42114029060586,1990-09-04
Strategy_4_T172,strategy_1,-0.0060000000000002,0.40752484114256743,-0.18495031771486514,24.855285072651466,24.855446544682206,99.27200858016995,1990-10-02
Strategy_4_T180,strategy_1,0.0030000000000001,0.4409627709481175,-0.11807445810376505,24.818002145042488,24.929900551117335,99.34646258660507,1990-10-16
