Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T0,Strategy_4,0.0124999999999997,0.48172316067574306,48.17231606757431,25.602153950844663,100.60215395084467,1990-01-03
Strategy_2_T7,Strategy_2,-0.0184999999999999,0.414136713260397,41.66304538411928,24.2292336603938,99.83138761123845,1990-01-23
Strategy_4_T19,Strategy_4,0.0030000000000001,0.45488249968854316,45.411551143976006,25.738388604276597,99.9676222646704,1990-02-12
Strategy_4_T23,Strategy_4,0.0070000000000001,0.4591785824246816,45.902991079857394,26.059709541835602,100.2889432022294,1990-02-16
Strategy_3_T30,Strategy_3,0.0019999999999997,0.5461427039976106,54.772074621528354,25.10954414924304,100.39848735147244,1990-02-27
Strategy_4_T37,Strategy_4,-0.0024999999999999,0.5100178810641707,51.20502378104592,25.93169698238299,100.27047479201983,1990-03-02
Strategy_2_T39,Strategy_2,0.0084999999999997,0.4813080541873337,48.26098711458715,24.639452050867774,100.6806931824938,1990-03-06
Strategy_2_T81,Strategy_2,-0.0024999999999999,0.5172494653832086,52.077034723055775,24.50925946406014,100.55050059568617,1990-05-01
Strategy_1_T87,Strategy_1,-0.0046000000000003,0.43623158690096514,43.86330443854262,24.79822879958269,100.34872939526886,1990-05-10
Strategy_4_T93,Strategy_4,0.0001999999999999,0.4669116690782468,46.85399273182632,25.94106778092935,100.35810019381522,1990-05-23
Strategy_4_T95,Strategy_4,-0.0125000000000001,0.4778690598863692,47.95803099160052,25.34159239353434,99.7586248064202,1990-05-24
Strategy_2_T99,Strategy_2,0.0053,0.5227879132612034,52.15260329235574,24.785668261509624,100.03503360386969,1990-05-31
Strategy_4_T107,Strategy_4,-0.0049999999999998,0.538860156225209,53.904893835775255,25.072067924355476,99.76550913469083,1990-06-07
Strategy_2_T111,Strategy_2,-0.0074999999999998,0.5550254872773877,55.37240032095845,24.370375259102445,99.35021613228365,1990-06-13
Strategy_4_T118,Strategy_4,-0.0019999999999997,0.4496819514242613,44.67599906478744,24.982715926225914,99.26086413415409,1990-06-21
Strategy_4_T132,Strategy_4,-0.0005000000000001,0.42144174791747807,41.83267208049721,24.961799590185663,99.23994779811383,1990-07-16
Strategy_2_T149,Strategy_2,-0.0059999999999997,0.4420246847854048,43.866506643581296,24.10717621924097,98.97674875825236,1990-09-04
Strategy_4_T172,Strategy_4,-0.0060000000000002,0.43123513966858107,42.682252074707016,24.705706077737414,98.72065524580411,1990-10-02
Strategy_4_T180,Strategy_4,0.0030000000000001,0.45602207989604543,45.01879853389204,24.840762473339094,98.85571164140579,1990-10-16
Strategy_2_T217,Strategy_2,0.0049999999999998,0.596589201730429,58.97625009463975,24.402057469714155,99.15059289187897,1990-12-24
Strategy_2_T221,Strategy_2,0.0,0.48447173888533646,48.03566014984069,24.402057469714155,99.15059289187897,1990-12-26
Strategy_2_T222,Strategy_2,0.0,0.4823944246794222,47.829693214701564,24.402057469714155,99.15059289187897,1990-12-27
Strategy_4_T229,Strategy_4,-0.0180000000000002,0.5360143888478174,53.14614445283925,23.884131873187975,98.19396229172786,1991-01-08
Strategy_4_T234,Strategy_4,-0.0099999999999997,0.47741578048868033,46.8793471467813,23.415338401720177,97.72516882026005,1991-01-14
Strategy_4_T239,Strategy_4,-0.0135,0.4227584119839099,41.314137181312645,22.857597549772457,97.16742796831234,1991-01-18
Strategy_4_T248,Strategy_4,0.0009999999999998,0.4540035184532284,44.114354176664435,22.901711903949113,97.211542322489,1991-02-15
Strategy_2_T251,Strategy_2,-0.0115000000000002,0.42276159669369157,41.09730684931182,23.92943844094706,96.7389232937219,1991-02-19
Strategy_2_T257,Strategy_2,-0.0009999999999998,0.5005690725217468,48.424513109890775,23.881013927837177,96.69049878061202,1991-02-26
Strategy_2_T265,Strategy_2,-0.0049999999999998,0.5258641719449366,50.846069076209446,23.62678358245614,96.43626843523099,1991-03-05
Strategy_2_T274,Strategy_2,0.0035000000000002,0.6222214855537147,60.00471820702623,23.836800096180745,96.64628494895558,1991-03-15
Strategy_2_T286,Strategy_2,0.0060000000000002,0.5249043128558188,50.730051791199195,24.14118040692795,96.95066525970279,1991-03-26
Strategy_2_T291,Strategy_2,0.0,0.5935113090223447,57.541316248873365,24.14118040692795,96.95066525970279,1991-03-29
Strategy_2_T315,Strategy_2,-0.0150000000000001,0.5117476216758267,49.614272366542096,23.396966321429815,96.20645117420466,1991-05-01
Strategy_4_T319,Strategy_4,0.0049999999999998,0.5297547293871961,50.965822507093286,23.15654101648457,96.4612802867401,1991-05-06
Strategy_4_T333,Strategy_4,-0.0133999999999998,0.5214951332616473,50.304088217722644,22.4824662343671,95.78720550462263,1991-05-21
